deptid,reasonid,department,reason,deptshort,good,NumberHits,childid,first_name,familyid,last_name,age,divorcedparents,addressid1,Street,number,city,country,iso2Country,iso3Country,eu,addressid2,street2,number2
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111216,Tamra,428139,Scarrisbrick,6,0,349139,Sauthoff Park,139,Mobile,United States,US,USA,N,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117062,Emmott,431714,Dickson,14,0,352714,Division Center,225,Essen,Germany,DE,DEU,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109705,Marcelle,427217,Rableau,5,0,348217,Ramsey Alley,138,Su-dong,South Korea,KR,KOR,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103002,Lovell,423074,Heddon,18,0,344074,Holmberg Terrace,55,Leeuwarden,Netherlands,NL,NLD,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,113323,Ardeen,429415,Keable,12,1,350415,Knutson Terrace,122,Hoorn,Netherlands,NL,NLD,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107192,Kennith,425643,Faircloth,6,0,346643,Fair Oaks Circle,27,Rodhítsa,Greece,GR,GRC,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100670,Dolores,421647,Solland,0,0,342647,Spohn Circle,150,Fort Lauderdale,United States,US,USA,N,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101058,Valeria,421891,De Dei,6,0,342891,Del Mar Lane,25,Hannover,Germany,DE,DEU,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102038,Aurea,422491,Sexty,14,0,343491,Scoville Avenue,186,Oceanside,United States,US,USA,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111700,Granville,428432,Londsdale,0,0,349432,Manitowish Place,205,Izbicko,Poland,PL,POL,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107773,Clyde,426022,Howard - Gater,11,0,347022,Independence Crossing,208,Harderwijk,Netherlands,NL,NLD,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109460,Maiga,427067,Stutard,1,0,348067,Summit Avenue,93,Evansville,United States,US,USA,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108021,Holli,426178,Rosenwald,11,0,347178,Rowland Court,214,Götene,Sweden,SE,SWE,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117774,Tina,432161,Everix,4,1,353161,Evergreen Pass,87,Polykárpi,Greece,GR,GRC,Y,787857,Nevada Park,39
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109087,Inga,426833,Brussell,14,0,347833,Bunting Court,118,Zborovice,Czech Republic,CZ,CZE,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109499,Tanney,427093,Cops,6,1,348093,Coolidge Terrace,160,Toulon,France,FR,FRA,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102354,Killy,422674,Fooks,14,0,343674,Forest Run Trail,31,Pescara,Italy,IT,ITA,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108446,Gunter,426447,Curthoys,6,0,347447,Darwin Plaza,155,Nürnberg,Germany,DE,DEU,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106538,Minnie,425251,Breming,13,0,346251,Browning Crossing,8,Prostřední Bečva,Czech Republic,CZ,CZE,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103178,Davita,423186,Honsch,13,0,344186,Huxley Terrace,177,Doetinchem,Netherlands,NL,NLD,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103040,Cindee,423099,Spering,16,0,344099,Stang Lane,245,Miami,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110825,Thadeus,427892,Peaddie,1,1,348892,Orin Street,86,Valada,Portugal,PT,PRT,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111809,Andy,428495,Lomaz,16,0,349495,Manitowish Parkway,156,Iwkowa,Poland,PL,POL,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101414,Georgette,422119,Noyce,13,1,343119,Northland Alley,244,Martingança,Portugal,PT,PRT,Y,786624,Ronald Regan Place,65
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109184,Simonne,426890,Brownill,6,1,347890,Bultman Trail,233,Vilémov,Czech Republic,CZ,CZE,Y,787195,Iowa Way,12
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108482,Bambie,426466,Fearnehough,7,0,347466,Farmco Hill,178,Áno Kopanákion,Greece,GR,GRC,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,105127,Smith,424377,Hamson,17,0,345377,Helena Point,168,El Carmen,Mexico,MX,MEX,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111736,Kendall,428456,Gledhall,14,0,349456,Green Court,101,Takahagi,Japan,JP,JPN,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112777,Libbie,429089,Reith,10,0,350089,Reinke Alley,62,Älvsjö,Sweden,SE,SWE,Y,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,114459,Yance,430126,Lund,7,0,351126,Marcy Court,158,Kluczbork,Poland,PL,POL,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,115957,Shelden,431037,Gaitley,5,0,352037,Gerald Point,195,Iiyama,Japan,JP,JPN,N,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116400,Moss,431299,Deverson,17,1,352299,Dexter Lane,72,Dortmund,Germany,DE,DEU,Y,787751,Pepper Wood Point,210
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117756,Nissa,432149,Loughlan,1,0,353149,Manufacturers Lane,228,Jemielno,Poland,PL,POL,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110201,Brigitte,427512,Beaney,7,0,348512,Autumn Leaf Parkway,128,Guayabetal,Colombia,CO,COL,N,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109209,Cyndia,426908,Yallowley,17,0,347908,Welch Point,72,Vienna,United States,US,USA,N,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,115840,Etan,430967,Ramalhete,17,1,351967,Randy Place,233,Valladolid,Spain,ES,ESP,Y,787715,Monterey Lane,140
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116437,Nadeen,431324,Emmet,6,0,352324,Esch Place,49,Mikró Monastíri,Greece,GR,GRC,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107205,Yehudit,425653,Sumnall,9,0,346653,Sunbrook Junction,213,Indianapolis,United States,US,USA,N,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104707,Eduardo,424136,Sambals,17,0,345136,Sachs Avenue,16,Frösön,Sweden,SE,SWE,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103026,Kaylil,423090,Ebi,10,0,344090,Elgar Place,201,Diavatá,Greece,GR,GRC,Y,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,114127,Bevon,429915,Joanic,11,0,350915,Kenwood Way,196,Amsterdam Noord west,Netherlands,NL,NLD,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104656,Oliy,424106,Offiler,6,1,345106,Norway Maple Center,181,Miragaia,Portugal,PT,PRT,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116037,Bondon,431083,Medmore,1,0,352083,Mockingbird Way,225,Łazy,Poland,PL,POL,Y,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113870,Luciana,429753,Bridgnell,17,1,350753,Buell Hill,163,Rýmařov,Czech Republic,CZ,CZE,Y,787556,Bluejay Pass,114
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110955,Bronny,427979,Spendlove,14,0,348979,Stang Hill,39,Miami,United States,US,USA,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111187,Krystle,428121,Vanstone,5,0,349121,Troy Trail,24,New York City,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106339,Mirella,425129,Prosek,7,0,346129,Prairie Rose Trail,155,Gongju,South Korea,KR,KOR,N,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117469,Nariko,431963,Bayfield,14,0,352963,Atwood Drive,71,Fuente de Oro,Colombia,CO,COL,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115562,Regine,430792,Cowie,16,0,351792,Cottonwood Junction,75,Sélestat,France,FR,FRA,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110498,Tades,427687,Dumberrill,14,0,348687,Eagan Drive,147,Halle,Germany,DE,DEU,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111994,Reuben,428604,Gawkroge,8,0,349604,Golden Leaf Trail,219,Koga,Japan,JP,JPN,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113647,Melessa,429613,Antonescu,17,0,350613,Almo Road,181,Blainville,Canada,CA,CAN,N,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104402,Arlana,423949,Logesdale,13,0,344949,Manitowish Hill,166,Husów,Poland,PL,POL,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117777,Werner,432164,Hansbury,7,0,353164,Hermina Plaza,226,San Diego,Mexico,MX,MEX,N,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101457,Odilia,422144,Saladin,18,0,343144,Ryan Drive,237,Storvik,Sweden,SE,SWE,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117926,Korrie,432257,Bickersteth,17,1,353257,Bayside Hill,43,Curridabat,Costa Rica,CR,CRI,N,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100987,Alaster,421847,Spelwood,8,0,342847,Stang Crossing,163,Miami,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110934,Jory,427964,Shopcott,12,0,348964,Sheridan Circle,137,San Rafael,United States,US,USA,N,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,108792,Demetris,426651,Kinnen,7,0,347651,Lawn Parkway,144,Ridderkerk,Netherlands,NL,NLD,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105997,Artemas,424910,Tomaszek,17,0,345910,Tennyson Crossing,197,Springfield,United States,US,USA,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112700,Erda,429040,Bottell,1,0,350040,Bonner Way,35,Libochovice,Czech Republic,CZ,CZE,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114855,Madeleine,430352,Covotti,6,0,351352,Cottonwood Alley,212,Obernai,France,FR,FRA,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110926,Scott,427959,Venneur,14,0,348959,Union Avenue,10,Cincinnati,United States,US,USA,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,113157,Caroline,429317,Tilt,14,0,350317,Sycamore Road,162,Grand Rapids,United States,US,USA,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108032,Kareem,426184,Langfitt,0,0,347184,Londonderry Lane,25,Maungatapere,New Zealand,NZ,NZL,N,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,106073,Galven,424959,Hardbattle,2,0,345959,High Crossing Pass,73,La Loma,Mexico,MX,MEX,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103013,Salaidh,423083,Ockland,2,0,344083,Northwestern Terrace,159,Mafra,Portugal,PT,PRT,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110330,Feliks,427583,Rizziello,17,0,348583,Rigney Pass,58,Ljungbyholm,Sweden,SE,SWE,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104082,Gus,423749,Skyrm,16,0,344749,South Terrace,160,Newark,United States,US,USA,N,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105418,Gwendolyn,424559,Copping,18,0,345559,Coolidge Road,203,Sophia Antipolis,France,FR,FRA,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111144,Kaleb,428097,Noice,13,1,349097,North Place,46,Brejieira,Portugal,PT,PRT,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104301,Thelma,423887,Quincey,17,0,344887,Quincy Parkway,47,Seogeom-ri,South Korea,KR,KOR,N,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116448,Jillian,431331,Becke,15,1,352331,Badeau Point,108,La Victoria,Colombia,CO,COL,N,787754,Green Ridge Circle,78
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,114515,Porty,430153,Humpherston,16,0,351153,Iowa Terrace,44,Wageningen,Netherlands,NL,NLD,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117058,Garvey,431712,Trimby,15,1,352712,Thompson Trail,28,Omaha,United States,US,USA,N,787806,Helena Point,86
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107974,Ella,426149,Akehurst,3,0,347149,5th Street,83,Lumby,Canada,CA,CAN,N,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117564,Jareb,432022,Devote,18,1,353022,Dexter Pass,121,Dortmund,Germany,DE,DEU,Y,787838,Roth Drive,116
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104823,Carmencita,424203,Jenicke,12,0,345203,Kensington Junction,185,Waalwijk,Netherlands,NL,NLD,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105896,Allard,424854,Escoffier,17,1,345854,Everett Drive,250,Néa Péramos,Greece,GR,GRC,Y,786954,Killdeer Crossing,211
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113715,Jonie,429653,Giurio,13,0,350653,Grayhawk Drive,70,Shizuoka-shi,Japan,JP,JPN,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103214,Osborne,423208,Childs,7,1,344208,Clarendon Court,234,Paris 04,France,FR,FRA,Y,786737,Center Terrace,181
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108039,Sim,426189,Gurden,16,0,347189,Havey Hill,193,Francisco I Madero,Mexico,MX,MEX,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115466,Una,430732,Flemyng,2,0,351732,Forest Dale Park,142,Even Yehuda,Israel,IL,ISR,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108239,Clary,426321,Ebbs,0,1,347321,Elgar Hill,227,Chaniá,Greece,GR,GRC,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108287,Cosmo,426353,Brownfield,6,0,347353,Bultman Terrace,192,Veřovice,Czech Republic,CZ,CZE,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,113228,Marcie,429357,Bernet,11,1,350357,Bashford Parkway,70,San Benito Abad,Colombia,CO,COL,N,787502,Twin Pines Park,102
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108096,Aron,426225,Kelberer,13,0,347225,La Follette Center,100,Hoorn,Netherlands,NL,NLD,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103386,Moria,423312,Rouby,18,0,344312,Roxbury Hill,23,Limmared,Sweden,SE,SWE,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100472,Maureen,421531,Crowdy,5,0,342531,Dahle Road,179,Stuttgart Stuttgart-Mitte,Germany,DE,DEU,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111692,Linnet,428427,Ferreira,15,0,349427,Fieldstone Crossing,76,Balrothery,Ireland,IE,IRL,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104122,Norry,423774,Arias,5,1,344774,American Ash Crossing,37,Lacolle,Canada,CA,CAN,N,786804,Reindahl Court,19
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109231,Loy,426925,Matiewe,4,1,347925,Melvin Terrace,76,Rekowo Dolne,Poland,PL,POL,Y,787201,Memorial Park,64
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110318,Wolfy,427574,Greaterex,9,0,348574,Hallows Road,39,Kupiskis,Lithuania,LT,LTU,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103382,Marshall,423311,St. Pierre,15,1,344311,Stephen Hill,142,Saint Augustine,United States,US,USA,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108257,Delly,426335,Turbern,16,0,347335,Tony Crossing,199,Santa Fe,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107403,Astra,425778,Catchpole,13,0,346778,Cascade Plaza,22,Lucé,France,FR,FRA,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112369,Stefan,428837,Drable,0,0,349837,Drewry Hill,169,Lübeck,Germany,DE,DEU,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107396,Ardyce,425774,Janew,2,0,346774,Katie Pass,215,Etten-Leur,Netherlands,NL,NLD,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105654,Jacques,424692,Landsbury,3,1,345692,Londonderry Court,215,Levin,New Zealand,NZ,NZL,N,786933,Raven Hill,221
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102348,Aila,422669,Zold,4,0,343669,Westport Terrace,198,Charleston,United States,US,USA,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115377,Brear,430674,Patrie,17,1,351674,Onsgard Center,173,Almeirim,Portugal,PT,PRT,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116282,Daisy,431226,Reskelly,14,0,352226,Ridge Oak Circle,49,Överkalix,Sweden,SE,SWE,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116790,Gusella,431543,Dike,15,0,352543,Division Lane,106,Essen,Germany,DE,DEU,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117664,Arlyne,432085,Sier,5,0,353085,Sherman Way,144,Denver,United States,US,USA,N,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116781,Codie,431536,Grzegorecki,14,0,352536,Harper Hill,169,Schieren,Luxembourg,LU,LUX,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115149,Lizzie,430542,Casburn,14,0,351542,Carioca Point,22,Brest,France,FR,FRA,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110626,Launce,427761,Ferrieri,16,0,348761,Fieldstone Junction,128,Bearna,Ireland,IE,IRL,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101006,Dosi,421856,Lafrentz,1,0,342856,Loftsgordon Circle,32,Emmeloord,Netherlands,NL,NLD,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,102898,Brockie,423008,Orum,16,0,344008,Oak Park,221,Santo António das Areias,Portugal,PT,PRT,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110706,Reta,427811,Leer,16,0,348811,Lunder Place,111,Blizne,Poland,PL,POL,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114811,Camey,430330,Tweed,12,1,351330,Towne Alley,233,Las Vegas,United States,US,USA,N,787637,Kropf Junction,171
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,114175,Jemima,429952,Cottis,9,1,350952,Corry Road,7,Tassin-la-Demi-Lune,France,FR,FRA,Y,787578,Ridgeview Crossing,186
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109694,Fleming,427209,Conrard,18,1,348209,Continental Way,15,La Seyne-sur-Mer,France,FR,FRA,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107246,Clemmie,425680,Crallan,15,0,346680,Crescent Oaks Plaza,131,Berlin,Germany,DE,DEU,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107727,Hally,425993,Patchett,6,0,346993,Oneill Point,207,Vinhas,Portugal,PT,PRT,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106761,Nicolle,425385,Toffoletto,1,0,346385,Tennessee Avenue,33,Saint Joseph,United States,US,USA,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107600,Ulick,425902,Tregiddo,5,0,346902,Thierer Pass,27,Greensboro,United States,US,USA,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112565,Wilmar,428949,Mangon,2,0,349949,Meadow Vale Point,181,Otwock,Poland,PL,POL,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108633,Shelley,426555,Milbourne,0,0,347555,Monterey Road,43,Paraíso,Portugal,PT,PRT,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117843,Stefano,432208,Vogel,6,1,353208,Utah Junction,180,Youngstown,United States,US,USA,N,787860,Mcbride Plaza,5
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103915,Andie,423646,Jelley,1,0,344646,Kensington Alley,6,Waalwijk,Netherlands,NL,NLD,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116091,Ernst,431115,Brockhouse,10,1,352115,Buhler Hill,11,Týn nad Vltavou,Czech Republic,CZ,CZE,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,109888,Vince,427323,Adnams,17,0,348323,4th Pass,250,Vegreville,Canada,CA,CAN,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108514,Anica,426482,Willers,3,0,347482,Warner Avenue,224,Katy,United States,US,USA,N,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105788,Emelda,424780,Corwood,8,0,345780,Corry Drive,117,Roanne,France,FR,FRA,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103476,Fanni,423366,Sket,2,0,344366,Sommers Plaza,83,Washington,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110459,Lydon,427660,Pember,10,0,348660,Oxford Road,71,Foros da Catrapona,Portugal,PT,PRT,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106324,Chiarra,425119,Negal,7,0,346119,Nevada Way,49,Vidual,Portugal,PT,PRT,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102634,Hubert,422846,Phifer,12,1,343846,Pawling Avenue,208,Sobreira,Portugal,PT,PRT,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,105042,Paula,424330,Dabney,2,0,345330,Dawn Place,97,Bremerhaven,Germany,DE,DEU,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110834,Vittoria,427899,Sansom,3,0,348899,Sachtjen Hill,203,Liverpool,United Kingdom,GB,GBR,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107242,Hugo,425677,Cocker,11,0,346677,Coleman Way,160,Béthune,France,FR,FRA,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,101728,Teresita,422304,Worcs,11,0,343304,Waywood Hill,213,Manassas,United States,US,USA,N,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117378,Pippa,431907,Dumphry,15,0,352907,Eagan Plaza,149,Halle,Germany,DE,DEU,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107556,Lonnard,425873,Marages,12,0,346873,Meadow Valley Trail,116,Piła,Poland,PL,POL,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115535,Mindy,430775,Auston,14,0,351775,Anhalt Road,145,Chile Chico,Chile,CL,CHL,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111947,Ailey,428573,Rabjohns,13,0,349573,Quincy Trail,80,Sogcho,South Korea,KR,KOR,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107539,Kathye,425863,Rudolfer,18,0,346863,Ruskin Place,103,Säffle,Sweden,SE,SWE,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103267,Fionna,423238,Felder,10,0,344238,Farragut Lane,201,Budapest,Hungary,HU,HUN,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105208,Giustino,424429,Wakeman,1,0,345429,Valley Edge Hill,168,Portland,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110766,Belinda,427849,Jannequin,3,0,348849,Katie Street,181,Etten-Leur,Netherlands,NL,NLD,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115446,Haskel,430718,Lackey,8,1,351718,Loeprich Parkway,221,Emmeloord,Netherlands,NL,NLD,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104450,Lark,423976,Romeuf,16,0,344976,Ronald Regan Terrace,3,Kungsbacka,Sweden,SE,SWE,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,102893,Leesa,423004,Selborne,16,0,344004,Scofield Junction,12,Los Angeles,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107058,Howey,425565,Thompstone,17,0,346565,Sutteridge Pass,54,Annapolis,United States,US,USA,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113499,Oswell,429521,Baggott,11,0,350521,Anniversary Street,180,Purranque,Chile,CL,CHL,N,,,
